scenario,timestamp,x,y
Train_t_S_Run_001_left,1,1.860,-200.000
Train_t_S_Run_001_left,2,1.631,-192.455
Train_t_S_Run_001_left,3,1.695,-184.930
Train_t_S_Run_001_left,4,1.636,-177.415
Train_t_S_Run_001_left,5,1.849,-169.900
Train_t_S_Run_001_left,6,1.671,-162.374
Train_t_S_Run_001_left,7,1.708,-154.827
Train_t_S_Run_001_left,8,1.752,-147.249
Train_t_S_Run_001_left,9,1.613,-139.631
Train_t_S_Run_001_left,10,1.792,-131.965
Train_t_S_Run_001_left,11,1.903,-124.243
Train_t_S_Run_001_left,12,1.800,-116.457
Train_t_S_Run_001_left,13,1.594,-108.601
Train_t_S_Run_001_left,14,1.788,-100.671
Train_t_S_Run_001_left,15,1.745,-92.663
Train_t_S_Run_001_left,16,1.723,-84.574
Train_t_S_Run_001_left,17,1.801,-76.403
Train_t_S_Run_001_left,18,1.652,-68.152
Train_t_S_Run_001_left,19,1.800,-59.823
Train_t_S_Run_001_left,20,1.859,-51.432
Train_t_S_Run_001_left,21,1.803,-43.024
Train_t_S_Run_001_left,22,1.678,-34.701
Train_t_S_Run_001_left,23,1.484,-26.661
Train_t_S_Run_001_left,24,1.316,-19.215
Train_t_S_Run_001_left,25,-0.211,-12.774
Train_t_S_Run_001_left,26,-3.607,-7.919
Train_t_S_Run_001_left,27,-7.776,-4.231
Train_t_S_Run_001_left,28,-12.984,-1.921
Train_t_S_Run_001_left,29,-19.274,-0.797
Train_t_S_Run_001_left,30,-26.665,-1.272
Train_t_S_Run_001_left,31,-34.773,-1.101
Train_t_S_Run_001_left,32,-43.263,-1.211
Train_t_S_Run_001_left,33,-51.916,-1.290
Train_t_S_Run_001_left,34,-60.605,-1.110
Train_t_S_Run_001_left,35,-69.266,-1.147
Train_t_S_Run_001_left,36,-77.877,-1.379
Train_t_S_Run_001_left,37,-86.425,-1.033
Train_t_S_Run_001_left,38,-94.904,-1.243
Train_t_S_Run_001_left,39,-103.309,-1.409
Train_t_S_Run_001_left,40,-111.635,-1.288
Train_t_S_Run_001_left,41,-119.881,-1.076
Train_t_S_Run_001_left,42,-128.045,-1.325
Train_t_S_Run_001_left,43,-136.127,-1.035
Train_t_S_Run_001_left,44,-144.129,-1.172
Train_t_S_Run_001_left,45,-152.052,-1.240
Train_t_S_Run_001_left,46,-159.902,-1.261
Train_t_S_Run_001_left,47,-167.682,-1.269
Train_t_S_Run_001_left,48,-175.400,-1.328
Train_t_S_Run_001_left,49,-183.062,-1.224
Train_t_S_Run_001_left,50,-190.675,-1.274
Train_t_S_Run_001_left,51,-198.250,-1.179
Train_t_S_Run_002_left,1,1.680,-200.000
Train_t_S_Run_002_left,2,1.766,-191.234
Train_t_S_Run_002_left,3,1.650,-182.478
Train_t_S_Run_002_left,4,1.942,-173.739
Train_t_S_Run_002_left,5,1.623,-165.030
Train_t_S_Run_002_left,6,1.643,-156.358
Train_t_S_Run_002_left,7,1.751,-147.733
Train_t_S_Run_002_left,8,1.825,-139.162
Train_t_S_Run_002_left,9,1.696,-130.654
Train_t_S_Run_002_left,10,1.844,-122.213
Train_t_S_Run_002_left,11,1.761,-113.845
Train_t_S_Run_002_left,12,1.868,-105.555
Train_t_S_Run_002_left,13,1.871,-97.344
Train_t_S_Run_002_left,14,1.775,-89.214
Train_t_S_Run_002_left,15,1.703,-81.166
Train_t_S_Run_002_left,16,1.928,-73.199
Train_t_S_Run_002_left,17,1.737,-65.309
Train_t_S_Run_002_left,18,1.739,-57.495
Train_t_S_Run_002_left,19,1.832,-49.753
Train_t_S_Run_002_left,20,1.496,-42.092
Train_t_S_Run_002_left,21,1.547,-34.536
Train_t_S_Run_002_left,22,1.485,-27.166
Train_t_S_Run_002_left,23,1.688,-20.136
Train_t_S_Run_002_left,24,0.077,-13.965
Train_t_S_Run_002_left,25,-2.675,-9.037
Train_t_S_Run_002_left,26,-6.262,-5.524
Train_t_S_Run_002_left,27,-10.141,-2.882
Train_t_S_Run_002_left,28,-14.687,-1.221
Train_t_S_Run_002_left,29,-20.158,-0.901
Train_t_S_Run_002_left,30,-26.480,-1.193
Train_t_S_Run_002_left,31,-33.441,-0.893
Train_t_S_Run_002_left,32,-40.789,-1.396
Train_t_S_Run_002_left,33,-48.363,-1.132
Train_t_S_Run_002_left,34,-56.062,-1.048
Train_t_S_Run_002_left,35,-63.849,-1.238
Train_t_S_Run_002_left,36,-71.714,-1.287
Train_t_S_Run_002_left,37,-79.657,-1.156
Train_t_S_Run_002_left,38,-87.679,-1.088
Train_t_S_Run_002_left,39,-95.783,-1.289
Train_t_S_Run_002_left,40,-103.969,-1.292
Train_t_S_Run_002_left,41,-112.235,-1.135
Train_t_S_Run_002_left,42,-120.579,-0.991
Train_t_S_Run_002_left,43,-128.997,-1.311
Train_t_S_Run_002_left,44,-137.486,-1.124
Train_t_S_Run_002_left,45,-146.038,-1.085
Train_t_S_Run_002_left,46,-154.647,-1.141
Train_t_S_Run_002_left,47,-163.305,-1.111
Train_t_S_Run_002_left,48,-172.004,-1.080
Train_t_S_Run_002_left,49,-180.734,-1.227
Train_t_S_Run_002_left,50,-189.486,-1.150
Train_t_S_Run_002_left,51,-198.250,-1.055
Train_t_S_Run_003_right,1,1.703,-200.000
Train_t_S_Run_003_right,2,1.866,-191.281
Train_t_S_Run_003_right,3,1.649,-182.597
Train_t_S_Run_003_right,4,1.736,-173.957
Train_t_S_Run_003_right,5,1.763,-165.371
Train_t_S_Run_003_right,6,1.784,-156.845
Train_t_S_Run_003_right,7,1.750,-148.385
Train_t_S_Run_003_right,8,1.543,-139.997
Train_t_S_Run_003_right,9,1.872,-131.685
Train_t_S_Run_003_right,10,1.762,-123.453
Train_t_S_Run_003_right,11,1.604,-115.301
Train_t_S_Run_003_right,12,1.765,-107.232
Train_t_S_Run_003_right,13,1.510,-99.243
Train_t_S_Run_003_right,14,1.741,-91.332
Train_t_S_Run_003_right,15,1.714,-83.497
Train_t_S_Run_003_right,16,1.842,-75.734
Train_t_S_Run_003_right,17,1.672,-68.035
Train_t_S_Run_003_right,18,1.942,-60.397
Train_t_S_Run_003_right,19,1.734,-52.814
Train_t_S_Run_003_right,20,1.738,-45.294
Train_t_S_Run_003_right,21,1.952,-37.872
Train_t_S_Run_003_right,22,2.021,-30.638
Train_t_S_Run_003_right,23,1.947,-23.763
Train_t_S_Run_003_right,24,2.246,-17.508
Train_t_S_Run_003_right,25,4.205,-12.370
Train_t_S_Run_003_right,26,6.947,-8.287
Train_t_S_Run_003_right,27,10.389,-5.027
Train_t_S_Run_003_right,28,14.732,-2.547
Train_t_S_Run_003_right,29,20.116,-0.905
Train_t_S_Run_003_right,30,26.618,-0.872
Train_t_S_Run_003_right,31,33.807,-0.936
Train_t_S_Run_003_right,32,41.372,-1.147
Train_t_S_Run_003_right,33,49.151,-1.087
Train_t_S_Run_003_right,34,57.057,-1.046
Train_t_S_Run_003_right,35,65.057,-1.065
Train_t_S_Run_003_right,36,73.142,-1.189
Train_t_S_Run_003_right,37,81.309,-1.217
Train_t_S_Run_003_right,38,89.557,-1.099
Train_t_S_Run_003_right,39,97.884,-1.241
Train_t_S_Run_003_right,40,106.286,-1.450
Train_t_S_Run_003_right,41,114.760,-1.251
