scenario,timestamp,x,y
Train_y_S_Run_001_left,1,-1.797,-220.000
Train_y_S_Run_001_left,2,-1.705,-211.896
Train_y_S_Run_001_left,3,-1.866,-203.712
Train_y_S_Run_001_left,4,-1.874,-195.450
Train_y_S_Run_001_left,5,-1.951,-187.112
Train_y_S_Run_001_left,6,-2.132,-178.703
Train_y_S_Run_001_left,7,-1.797,-170.228
Train_y_S_Run_001_left,8,-1.865,-161.695
Train_y_S_Run_001_left,9,-1.839,-153.109
Train_y_S_Run_001_left,10,-1.877,-144.480
Train_y_S_Run_001_left,11,-1.652,-135.817
Train_y_S_Run_001_left,12,-1.821,-127.128
Train_y_S_Run_001_left,13,-1.625,-118.424
Train_y_S_Run_001_left,14,-1.706,-109.715
Train_y_S_Run_001_left,15,-1.607,-101.011
Train_y_S_Run_001_left,16,-1.826,-92.322
Train_y_S_Run_001_left,17,-1.525,-83.658
Train_y_S_Run_001_left,18,-1.737,-75.029
Train_y_S_Run_001_left,19,-1.756,-66.442
Train_y_S_Run_001_left,20,-1.788,-57.908
Train_y_S_Run_001_left,21,-1.972,-49.433
Train_y_S_Run_001_left,22,-1.866,-41.028
Train_y_S_Run_001_left,23,-2.029,-32.711
Train_y_S_Run_001_left,24,-1.974,-24.527
Train_y_S_Run_001_left,25,-2.325,-16.616
Train_y_S_Run_001_left,26,-3.961,-9.302
Train_y_S_Run_001_left,27,-6.358,-2.850
Train_y_S_Run_001_left,28,-8.982,2.651
Train_y_S_Run_001_left,29,-11.820,7.194
Train_y_S_Run_001_left,30,-14.611,11.281
Train_y_S_Run_001_left,31,-18.191,14.937
Train_y_S_Run_001_left,32,-22.255,18.960
Train_y_S_Run_001_left,33,-26.667,23.584
Train_y_S_Run_001_left,34,-31.684,28.344
Train_y_S_Run_001_left,35,-36.819,33.434
Train_y_S_Run_001_left,36,-42.065,38.609
Train_y_S_Run_001_left,37,-47.414,43.741
Train_y_S_Run_001_left,38,-52.544,49.100
Train_y_S_Run_001_left,39,-57.788,54.346
Train_y_S_Run_001_left,40,-63.056,59.577
Train_y_S_Run_001_left,41,-68.231,64.922
Train_y_S_Run_001_left,42,-73.590,70.119
Train_y_S_Run_001_left,43,-78.906,75.407
Train_y_S_Run_001_left,44,-84.160,80.818
Train_y_S_Run_001_left,45,-89.615,86.101
Train_y_S_Run_001_left,46,-94.947,91.591
Train_y_S_Run_001_left,47,-100.478,96.974
Train_y_S_Run_001_left,48,-106.013,102.455
Train_y_S_Run_001_left,49,-111.512,108.077
Train_y_S_Run_001_left,50,-117.082,113.739
Train_y_S_Run_001_left,51,-122.913,119.254
Train_y_S_Run_002_right,1,-1.707,-220.000
Train_y_S_Run_002_right,2,-1.688,-211.851
Train_y_S_Run_002_right,3,-1.906,-203.784
Train_y_S_Run_002_right,4,-1.760,-195.797
Train_y_S_Run_002_right,5,-1.920,-187.890
Train_y_S_Run_002_right,6,-1.645,-180.059
Train_y_S_Run_002_right,7,-1.681,-172.301
Train_y_S_Run_002_right,8,-1.798,-164.611
Train_y_S_Run_002_right,9,-1.827,-156.982
Train_y_S_Run_002_right,10,-1.812,-149.407
Train_y_S_Run_002_right,11,-1.839,-141.877
Train_y_S_Run_002_right,12,-1.649,-134.386
Train_y_S_Run_002_right,13,-1.929,-126.922
Train_y_S_Run_002_right,14,-1.797,-119.477
Train_y_S_Run_002_right,15,-1.676,-112.040
Train_y_S_Run_002_right,16,-1.686,-104.601
Train_y_S_Run_002_right,17,-1.744,-97.149
Train_y_S_Run_002_right,18,-1.693,-89.676
